theme,target,coords,hebrew_name,hebrew_theme
garden,Rose,(1.05; 0.41),ורד,גן
garden,Butterfly,(-0.87; 0.65),פרפר,גן
garden,Pond,(-0.02; -0.86),אגם,גן
garden,Bench,(0.87; -0.21),ספסל,גן
garden,Bush,(-0.38; 0.98),שיח,גן
beach,Rock,(0.20; 0.75),אבן,חוף
beach,Seagull,(-0.57; 0.14),שחף,חוף
beach,Wave,(-0.65; -0.46),גל,חוף
beach,Sandcastle,(0.57; -0.65),טירת חול,חוף
beach,Crab,(0.14; -1.02),סרטן,חוף
village,House,(0.53; 0.63),בית,כפר
village,Church,(-0.21; 1.09),כנסייה,כפר
village,Shop,(-0.90; -0.86),חנות,כפר
village,Street,(0.52; -0.50),רחוב,כפר
village,Streetlight,(0.10; -0.96),פנס,כפר
ranch,Cow,(0.42; 0.77),פרה,חווה
ranch,Donkey,(-0.45; 0.90),חמור,חווה
ranch,Barrow,(-0.12; -0.81),מריצה,חווה
ranch,Tractor,(0.40; -0.31),טרקטור,חווה
ranch,Straw,(-0.89; -0.35),קש,חווה
zoo,Lion,(0.87; 0.58),אריה,גן חיות
zoo,Elephant,(-0.33; 0.53),פיל,גן חיות
zoo,Gorilla,(-0.11; -1.12),גורילה,גן חיות
zoo,Giraffe,(0.76; -0.01),ג'ירף,גן חיות
zoo,Seal,(-0.50; -0.33),כלב ים,גן חיות
school,Blackboard,(0.61; 0.32),לוח,בית ספר
school,Book,(-0.58; 0.30),ספר,בית ספר
school,Teacher,(-0.66; -0.99),מורה,בית ספר
school,Playground,(0.58; -0.96),מגרש,בית ספר
school,Class,(-1.20; -0.49),כיתה,בית ספר
hospital,Doctor,(0.06; 1.05),רופא,בית חולים
hospital,Bed,(-0.48; 0.15),מיטה,בית חולים
hospital,Medicine,(-0.40; -1.18),תרופה,בית חולים
hospital,Stethoscope,(0.28; -0.57),סטטוסקופ,בית חולים
hospital,Ambulance,(1.13; 0.08),אמבולנס,בית חולים
library,Bookshelf,(0.24; 0.66),מדף ספרים,ספריה
library,Librarian,(-1.11; 0.63),ספרנית,ספריה
library,Computer,(-0.81; -0.41),מחשב,ספריה
library,Chair,(0.38; -0.70),כיסא,ספריה
library,Lamp,(-0.41; -0.93),מנורה,ספריה
gym,Bicycle,(0.57; 0.00),אופניים,חדר כושר
gym,Weights,(-0.14; 0.78),משקולות,חדר כושר
gym,Trainer,(-0.53; -1.08),מאמן,חדר כושר
gym,Pool,(0.40; -0.81),בריכה,חדר כושר
gym,Basketball,(-0.69; -0.01),כדורסל,חדר כושר
museum,Painting,(0.86; 0.37),ציור,מוזיאון
museum,Sculpture,(-1.04; 0.37),פסל,מוזיאון
museum,Guide,(-0.33; -1.22),מדריך,מוזיאון
museum,Ticket,(0.76; -0.30),כרטיס,מוזיאון
museum,Gallery,(-0.28; 0.85),גלריה,מוזיאון
airport,Plane,(0.51; 0.33),מטוס,שדה תעופה
airport,Pilot,(-0.59; 0.88),טייס,שדה תעופה
airport,Luggage,(-0.26; -0.81),מזוודה,שדה תעופה
airport,Gate,(0.68; -0.31),שער,שדה תעופה
airport,Runway,(0.27; 0.83),מסלול,שדה תעופה
market,Vendor,(0.58; 0.22),מוכר,שוק
market,Fruit,(-0.50; 0.94),פירות,שוק
market,Basket,(-0.25; -0.56),סל,שוק
market,Scale,(0.37; -0.82),משקל,שוק
market,Stall,(-0.53; 0.24),דוכן,שוק
